id,smiles,notes,params_json
1261,B(C(CC1=CC(=CC=C1)C(=O)O)NC(=O)CC2=CC=CC=C2)(O)O,,
1475,B(C1=CC(=CC=C1)NS(=O)(=O)C2=CC(=CS2)S(=O)(=O)C3=CC=CC=C3)(O)O,,
1677,B(C1=CC(=CC=C1)[N+](=O)[O-])(O)O,,
1710,B(C1=CC=C(C=C1)[Si](C)(C)C)(O)O,,
2359,B(C1=CC2=CC=CC=C2S1)(O)O,,
2671,B(CNC(=O)CC1=CC=CS1)(O)O,,
2815,B(CNC(=O)C1=C(ON=C1C2=CC=CC=C2Cl)C)(O)O,,
7627,B(O)(O)[O-].C1=CC=C(C=C1)[Hg+],,
7628,B(O)(O)O,,
8470,B(OC)(OC)OC,,
9009,B(OCC)(OCC)OCC,,
9243,B(OCCN)(OCCN)OCCN,,
12134,B(OCCCCC)(OCCCCC)OCCCCC,,
12711,B(OCCC)(OCCC)OCCC,,
12712,B(OCCCC)(OCCCC)OCCCC,,
14182,B(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,,
17176,B(OCCCCCCCC)(OCCCCCCCC)OCCCCCCCC,,
17177,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,,
17178,B(OCCCCCCCCCCCC)(OCCCCCCCCCCCC)OCCCCCCCCCCCC,,
17179,B(OCC1=CC=CC=C1)(OCC2=CC=CC=C2)OCC3=CC=CC=C3,,
18033,B(OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C)(OC(C)C)OC(C)C,,
18339,B(CCCCCCCCC)(O)O,,
20479,B(CCCC)(O)O,,
21192,B(C1=CC=CC=C1CC(C(=O)O)NC(=O)C)(O)O,,
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC,,
21424,B(OC(C)CC(C)C)(OC(C)CC(C)C)OC(C)CC(C)C,,
21425,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,,
21427,B(OC1=CC=CC=C1Cl)(OC2=CC=CC=C2Cl)OC3=CC=CC=C3Cl,,
21531,B(OC(C)C)(OC(C)C)OC(C)C,,
21573,B(OC1CCCCC1C2=CC=CC=C2)(OC3CCCCC3C4=CC=CC=C4)OC5CCCCC5C6=CC=CC=C6,,
21581,B(OC1CCCCC1C2CCCCC2)(OC3CCCCC3C4CCCCC4)OC5CCCCC5C6CCCCC6,,
25030,B1(OCCO1)CC,,
26574,B([O-])([O-])[O-],,
31077,B(OC(C)CC)(OC(C)CC)OC(C)CC,,
31078,B(OCCCl)(OCCCl)OCCCl,,
32712,B(OC(C)CCCCCC)(OC(C)CCCCCC)OC(C)CCCCCC,,
37132,B(OCCN(CC)CC)(OCCN(CC)CC)OCCN(CC)CC,,
45619,B(O)(O)OC(C)CN(CCN(CC(C)OB(O)O)CC(C)OB(O)O)CC(C)OB(O)O,,
51676,B1(OCP(CO1)C2=CC=CC=C2)C3=CC=CC=C3,,
52398,B(OC(C(C)CC)C(C)CC)(OC(C(C)CC)C(C)CC)OC(C(C)CC)C(C)CC,,
